STANDARDDEV,BLDG_COM_ACC,GENERAL PROJECT INFORMATION,Type of Work,5,2018-06-21 11:12:25.000,MWRIGHT,A,10,NULL,NULL,NULL,Y,NULL,N,APPLICATION,NULL,50,0,NULL,10,Y,BLDG_COM_ACC,NULL,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ACC,GENERAL PROJECT INFORMATION,Work in the right of way?,3,2018-06-04 18:23:52.000,CLI,A,80,NULL,NULL,NULL,Y,NULL,N,APPLICATION,NULL,0,0,NULL,10,Y,BLDG_COM_ACC,N,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ACC,OCCUPANCY TYPE,Area (Sq. Ft),4,2018-06-20 21:49:10.000,MWRIGHT,A,20,NULL,NULL,NULL,N,NULL,N,FEEATTACHEDTABLE,NULL,240,0,NULL,10,Y,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ACC,OCCUPANCY TYPE,Occupancy,5,2018-06-20 21:49:10.000,MWRIGHT,A,10,NULL,NULL,NULL,Y,NULL,N,FEEATTACHEDTABLE,NULL,240,60,NULL,10,Y,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ACC,PERMIT DATES,Application Expiration Date,2,2018-06-04 18:23:52.000,CLI,A,10,NULL,NULL,NULL,N,NULL,N,APPLICATION,NULL,0,0,NULL,90,N,BLDG_COM_ACC,N,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ACC,PERMIT DATES,Permit Expiration Date,2,2018-06-04 18:23:52.000,CLI,A,30,NULL,NULL,NULL,N,NULL,N,APPLICATION,NULL,0,0,NULL,90,N,BLDG_COM_ACC,N,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ACC,PERMIT DATES,Permit Issued Date,2,2018-06-04 18:23:52.000,CLI,A,20,NULL,NULL,NULL,N,NULL,N,APPLICATION,NULL,0,0,NULL,90,N,BLDG_COM_ACC,N,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ADD,CONSTRUCTION TYPE,Area (Sq. Ft),4,2019-01-30 09:21:49.000,CLI,A,20,NULL,NULL,NULL,N,NULL,N,FEEATTACHEDTABLE,NULL,240,0,NULL,20,Y,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ADD,CONSTRUCTION TYPE,Construction Type,5,2019-01-30 09:21:49.000,CLI,A,10,NULL,NULL,NULL,Y,NULL,N,FEEATTACHEDTABLE,NULL,240,60,NULL,20,Y,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ADD,GENERAL PROJECT INFORMATION,Does this project include a demolition?,3,2018-06-19 13:24:03.000,DBROWN,A,50,NULL,NULL,NULL,Y,NULL,N,APPLICATION,NULL,0,0,NULL,10,Y,BLDG_COM_ADD,N,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ADD,GENERAL PROJECT INFORMATION,Estimated Cost (Job Value),8,2018-06-21 11:12:25.000,MWRIGHT,A,20,NULL,NULL,NULL,N,NULL,N,APPLICATION,NULL,0,0,NULL,10,Y,BLDG_COM_ADD,NULL,NULL,N,N,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COM_ADD,GENERAL PROJECT INFORMATION,New Floor Area,4,2018-06-19 14:24:12.000,DBROWN,A,20,NULL,NULL,NULL,Y,NULL,N,APPLICATION,NULL,0,0,NULL,10,Y,BLDG_COM_ADD,N,NULL,N,N,NULL,NULL,NULL,NULL,N,New Floor Area (Sq. Ft),NULL,New Floor Area (Sq. Ft),NULL,NULL,NULL,NULL
